"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Paul McPherson",259,"PG",22,"TOT",55,0,595,109,216,0.505,2,12,0.167,107,204,0.525,0.509,42,58,0.724,40,39,79,38,25,4,47,80,262,13.6,0.542,0.269,7,7.6,7.3,11.6,2.2,0.5,16.3,21,0.4,0.5,0.9,0.074,-1.6,-0.3,-1.9,0,8.2,0.944,0.398,0.204,0.227,0.116,0.056,0.709,0.386,0.388,0.4,0.495,0.5,0.12,21,0.25,0
"Andrew DeClercq",260,"C",27,"ORL",67,51,903,107,193,0.554,0,0,NA,107,193,0.554,0.554,47,82,0.573,91,145,236,32,41,33,51,198,261,12.8,0.57,0.425,10.9,18.3,14.5,5.6,2.3,2.7,18.2,13.7,1,1.4,2.5,0.132,-3.4,1.2,-2.2,0,3.1,1,0.72,0.145,0.057,0.078,0,0.626,0.357,0.455,0.333,0.738,NA,0.093,16,NA,NA
"Cedric Ceballos",261,"SF",31,"TOT",40,0,559,101,229,0.441,22,73,0.301,79,156,0.506,0.489,37,43,0.86,34,72,106,20,16,7,32,61,261,15.4,0.526,0.188,7.1,15,11,6.9,1.5,0.9,11.4,23.5,0.5,0.8,1.3,0.114,0,-0.5,-0.5,0.2,11.5,0.681,0.45,0.048,0.052,0.131,0.319,0.592,0.273,0.333,0.367,0.684,1,0.035,7,0.479,0.314
"Tony Battie",262,"C",24,"BOS",40,25,845,108,201,0.537,0,3,0,108,198,0.545,0.537,44,69,0.638,73,160,233,16,27,60,37,126,260,15.2,0.562,0.343,9.7,23.1,16.1,3.3,1.7,5.4,13.8,14.4,1,1.3,2.3,0.131,-1.7,1,-0.7,0.3,7.7,0.985,0.428,0.209,0.164,0.184,0.015,0.721,0.381,0.485,0.378,0.722,NA,0.149,30,0,NA
"Todd MacCulloch",263,"C",25,"PHI",63,3,597,109,185,0.589,0,0,NA,109,185,0.589,0.589,42,66,0.636,69,99,168,10,7,19,27,96,260,18.3,0.607,0.357,13.3,18.4,15.9,3.1,0.6,2.3,11.2,18.3,1.6,0.9,2.5,0.199,0.3,-0.4,-0.1,0.3,3,1,0.638,0.286,0.07,0.005,0,0.788,0.226,0.308,0,0.67,NA,0.119,22,NA,NA
"Erick Strickland",264,"PG",27,"TOT",50,0,830,81,267,0.303,30,95,0.316,51,172,0.297,0.36,68,79,0.861,18,110,128,95,44,2,48,88,260,10.7,0.431,0.296,2.6,15.2,9,18.6,2.9,0.2,13.7,19.9,-0.4,1.2,0.8,0.046,-3,1.7,-1.3,0.1,15.8,0.644,0.202,0.086,0.142,0.213,0.356,0.407,0.087,0.316,0.263,0.549,0.933,0.007,1,0.211,0.45
"Tracy Murray",265,"SF",29,"TOT",51,1,588,94,248,0.379,36,103,0.35,58,145,0.4,0.452,33,42,0.786,22,59,81,23,12,7,26,53,257,11.4,0.482,0.169,4.1,11.4,7.7,6.5,1.1,0.8,8.9,22.2,0.2,0.3,0.6,0.046,-0.7,-2.2,-2.9,-0.1,17.6,0.585,0.081,0.137,0.113,0.254,0.415,0.5,0.382,0.286,0.429,0.707,0.917,0,0,0.34,0.343
"Jake Tsakalidis",266,"C",21,"PHO",57,39,947,101,215,0.47,0,0,NA,101,215,0.47,0.47,54,91,0.593,83,159,242,19,10,55,66,137,256,9.6,0.502,0.423,9.8,19.4,14.5,3.2,0.5,4.2,20.6,15.1,-0.3,1.6,1.3,0.067,-4.7,0.8,-4,-0.5,4.8,1,0.47,0.353,0.102,0.074,0,0.644,0.355,0.182,0.313,0.663,NA,0.158,28,NA,NA
"Reggie Slater",267,"PF",30,"MIN",55,16,686,90,175,0.514,0,0,NA,90,175,0.514,0.514,74,110,0.673,78,108,186,26,18,9,43,126,254,14.1,0.568,0.629,12.9,18.2,15.5,5.7,1.4,0.9,16.1,17.6,1.2,0.7,1.8,0.129,-2.3,-1.4,-3.7,-0.3,4.2,1,0.577,0.286,0.04,0.097,0,0.653,0.32,0.286,0.353,0.644,NA,0.08,13,NA,NA
"Vinny Del Negro",268,"PG",34,"TOT",65,1,922,106,234,0.453,1,13,0.077,105,221,0.475,0.455,41,44,0.932,12,70,82,126,26,3,34,78,254,11.3,0.501,0.188,1.4,8.8,4.9,21.7,1.5,0.2,11.8,13.6,1,0.6,1.6,0.085,-2.2,0.4,-1.8,0,15.3,0.944,0.077,0.094,0.256,0.517,0.056,0.667,0.409,0.55,0.421,0.562,1,0,0,0.231,0
"Mark Strickland",269,"SF",30,"TOT",55,2,719,103,239,0.431,1,2,0.5,102,237,0.43,0.433,45,70,0.643,54,107,161,24,16,22,34,72,252,11.9,0.467,0.293,8.1,16.7,12.3,5.6,1.2,2.1,11.2,18.9,0.1,0.5,0.6,0.037,-2.1,-1.2,-3.3,-0.2,10,0.992,0.364,0.084,0.192,0.351,0.008,0.598,0.2,0.304,0.381,0.725,1,0.1,21,0.5,1
"Evan Eschmeyer",270,"C",25,"NJN",74,51,1331,92,200,0.46,0,0,NA,92,200,0.46,0.46,67,102,0.657,135,231,366,40,41,58,53,220,251,10.8,0.512,0.51,11.3,20.5,15.8,4.7,1.6,3.3,17.8,10.1,1.1,1.5,2.5,0.091,-3,0.4,-2.6,-0.2,2.1,1,0.76,0.175,0.05,0.015,0,0.52,0.257,0.4,0,0.696,NA,0.13,23,NA,NA
